Street,Direction,TotalVolume
EASTCHESTER ROAD,NB,17665.0
EASTCHESTER ROAD,SB,17665.0
ROOSEVELT AVENUE,WB,17529.0
EAST 163 STREET,EB,17474.0
NORTHERN BOULEVARD,SB,17269.0
UTICA AVE BET CLARKSON AVE & LENOX RD,SB,16911.0
FLATBUSH AV,NB,16834.0
FLATBUSH AV,SB,16834.0
N/B UNION SQUARE EAST @ E 17 ST,NB,16791.0
WHITE PLAINS ROAD,NB,16624.0
DYCKMAN STREET,NB,16592.0
HUNTS POINT AVENUE,NB,16271.0
MACOMBS DAM BRIDGE,WB,16271.0
1 AVENUE,NB,16228.0
BARTOW AVENUE,WB,16080.0
PAERDEGAT AV N,SB,15500.0
MADISON AV,NB,15048.0
CENTRAL PARK N,WB,15048.0
MAJOR DEEGAN EXPWY ET 3 NB,NB,15044.0
MDE SB ENTRANCE GRAND CNCRSE,SB,15044.0
WILLIAM/OLD SLIP,NB,14960.0
OCEAN PARKWAY,NB,14711.0
NEPTUNE AVENUE,EB,14671.0
ROCKAWAY BLVD BET 93RD ST & 94TH ST,NB,14649.0
KINGS HIGHWAY,SB,14428.0
CROSS BRONX EXWY,EB,14364.0
ROCKAWAY AV,NB,14364.0
CROSS BRONX EXWY,WB,14364.0
HUGUENOT AV,NB,14364.0
7 AVENUE,SB,14308.0
MORNINGSIDE DRIVE,WB,14270.0
CLOVE ROAD,SB,14058.0
CLOVE ROAD,NB,14058.0
FRESH POND ROAD,SB,13957.0
111 STREET,NB,13739.0
34 AVENUE,EB,13736.0
33 STREET,NB,13736.0
CRESCENT STREET,SB,13736.0
WESTCHESTER AVENUE,WB,13499.0
WESTCHESTER AVENUE,EB,13499.0
RICHMOND ROAD,WB,13358.0
UNION AVENUE,SB,13108.0
UNION AVENUE,NB,13108.0
MEEKER AVENUE,EB,13108.0
GREENPOINT AVE BET MOULTRIE & HUMBOLDT STS,WB,12984.0
N/B CONEY ISLAND AVE(N LEG)@CORTELYOU RD,NB,12922.0
EAST 49 STREET,WB,12846.0
EAST 50 STREET,EB,12846.0
VICTORY BOULEVARD,EB,12755.0
DELAFIELD AVENUE,EB,12755.0
8 AV,NB,12586.0
CORTELYOU ROAD,EB,12498.0
ROSEDALE AVENUE,NB,12498.0
58 STREET,SB,12388.0
CONEY ISL AVE &CHURCH AVE BET TURNER PL &CHURCH AVE,NB,12154.0
FLUSHING AVENUE,EB,12146.0
KISSENA BOULEVARD,SB,11652.0
WEBSTER AVENUE,NB,11632.0
EAST 168 STREET,EB,11632.0
PARSONS BLVD,NB,11411.0
YORK AVE BET E 90TH ST & E 91ST ST,NB,11237.0
ARTHUR KILL ROAD,EB,11178.0
TODT HILL ROAD,NB,11178.0
111 STREET,SB,11135.0
BQE EASTBOUND ENTRANCE SANDS ST,EB,10834.0
W/B WILLIAMSBURG BR NORTH OUTER RDWY,WB,10771.0
Linden Blvd WB,WB,10691.0
ADAMS STREET,NB,10527.0
ROCKAWAY BLVD NB APPROACH TO INWOOD STREET,NB,10401.0
MC GUINNESS BLVD SOUTH,NB,10337.0
MC GUINNESS BLVD SOUTH,SB,10337.0
EMMONS AVENUE,EB,10325.0
OCEAN AVENUE,SB,10325.0
MALCOLM X BOULEVARD,SB,10273.0
TOMPKINS AVENUE,SB,10273.0
LINDEN STREET,EB,10273.0
VAN BUREN STREET,WB,10273.0
E/B BATTERY PLACE @ WASHINGTON ST,EB,10265.0
HOR HARDING EXWY SR S,EB,10229.0
HOR HARDING EXWY SR N,WB,10229.0
S/B MCGUINNESS BLVD @ NORMAN AVE,SB,10216.0
BROADWAY APPROACHING W 174TH ST,NB,10138.0
EAST 170 STREET,WB,10095.0
EAST 170 STREET,EB,10095.0
S/B SLOSSON AVE @ RICE AVE,SB,10032.0
W/B 145TH ST BR @ W 145 ST,WB,9979.0
SLOSSON AVE SB APPROACH TO SCHMIDTS LN,SB,9957.0
56 AV,WB,9726.0
S/B EASTCHESTER BRIDGE @ NOELL AVE,SB,9709.0
FT HAMILTON PKWY SB APPR BAY RIDGE PKWY,SB,9621.0
BEACH 95 STREET,SB,9449.0
ROCKAWAY BEACH BOULEVARD,WB,9449.0
BEACH 94 STREET,NB,9449.0
ROCKAWAY BEACH BOULEVARD,EB,9449.0
LAFAYETTE AVE @ TOMPKINS AVE,EB,9352.0
W/B FLUSHING BRIDGE @ VAN WYCK EXPWY RMP,WB,9136.0
ROCKLAND AVENUE,EB,9124.0
MANOR ROAD,NB,9124.0
CENTRAL PARK SOUTH,EB,9123.0
CYPRESS AVENUE,EB,9095.0
N/B PARK AVE @ E 61 ST,NB,9065.0
TARLTON STREET,EB,8945.0
SLOSSON AVE NB APPROACH TO WINDSOR RD,NB,8756.0
BQE,NB,8752.0
E/B ST. CLAIRE PLACE @ RIVERSIDE DR,EB,8583.0
KISSENA BLVD,NB,8538.0
MAIN ST,SB,8538.0
BEECH AV,WB,8538.0
PECK AV,EB,8538.0
NEGUNDO AV,WB,8538.0
QUEENS BOULEVARD,SB,8450.0
CROTONA AV,SB,8424.0
MEEKER AV,EB,8424.0
MERRICK BOULEVARD,WB,8408.0
MT MORRIS PARK W BET W 120TH ST & W 121ST ST,SB,8397.0
Crossbay NB Between 11th and 13th Rds,NB,8327.0
S/B PARK CIRCLE @ OCEAN PKWY,SB,8296.0
BROADWAY N/O W 173rd ST,SB,8286.0
HICKS ST BET ATLANTIC AVE & PACIFIC ST,NB,8280.0
JACKSON AV,EB,8259.0
JACKSON AV,WB,8259.0
AMSTERDAM AVENUE,SB,8222.0
WEST 177 STREET,WB,8222.0
WEST 176 STREET,EB,8222.0
BAY PARKWAY,NB,8218.0
2 AV,SB,8130.0
N/B CLASSON AVE @ DEKALB AVE,NB,8122.0
ROCKAWAY BLVD,WB,8100.0
E/B METROPOLITAN AVE@TROTTING COURSE LAN,EB,7997.0
FLUSHING AVENUE,WB,7727.0
S/B WESTCHESTER AVE @ E TREMONT AVE,SB,7718.0
E 72ND ST BET 1ST AVE & YORK AVE,EB,7696.0
S/B FRESH POND ROAD @ 60 ROAD,SB,7685.0
WATERS PLACE,EB,7679.0
WASHINGTON AVENUE,NB,7668.0
MONTGOMERY STREET,EB,7668.0
WASHINGTON AVENUE,SB,7668.0
N/B MAIN ST @ 78 ROAD,NB,7632.0
TOMLINSON AVENUE,SB,7627.0
RHINELANDER AVENUE,WB,7627.0
ARDEN AV,NB,7614.0
WOODBINE ST,WB,7510.0
48 STREET,SB,7486.0
73 PLACE,SB,7486.0
73 PLACE,NB,7486.0
RICHMOND AV,NB,7413.0
LONGWOOD AVENUE,SB,7367.0
SARATOGA AV,SB,7357.0
HHP SB EXIT 11,EB,7325.0
PARKSIDE AVENUE,WB,7236.0
N/B MCGUINNESS BLVD @ NASSAU AVE,NB,7201.0
E/B AVE N @ E 54 ST,EB,7162.0
63rd AVE BET QUEENS BLVD & SAUNDERS ST,SB,7100.0
NEILL AV,EB,7048.0
WILLIAMSBRIDGE RD,SB,7048.0
147 AV,EB,7025.0
147 AV,WB,7025.0
ELIOT AVENUE,WB,7021.0
ELIOT AVENUE,EB,7021.0
BRUCKNER BOULEVARD,WB,7012.0
MAIN STREET,NB,6960.0
PROSPECT PARK WEST APPROACH TO CARROLL ST,SB,6956.0
E 54 ST,EB,6943.0
ROCKAWAY BLVD WB APPROACH TO LEFFERTS BLVD,WB,6894.0
W/B JAMAICA AVE @ 202 ST,WB,6716.0
N/B SLOSSON AVE @ RICE AVE,NB,6587.0
N/B 164 ST @ 59 AVE,NB,6549.0
EAST 34 STREET,WB,6536.0
MORRIS PARK AVENUE,EB,6533.0
FRANCIS LEWIS BLVD,SB,6394.0
86 STREET,WB,6357.0
86 STREET,EB,6357.0
3 AVENUE,SB,6183.0
GRAND CENTRAL PARKWAY,SB,6146.0
SURF AVENUE,NB,6114.0
MARATHON PKWY,SB,6100.0
MERRICK BLVD,SB,6100.0
MERRICK BLVD,NB,6100.0
EB W 230th ST APPR TO BROADWAY,EB,6080.0
NEPTUNE AVE BET W 15TH & 16TH STS,WB,6036.0
ROSSVILLE AV,SB,6025.0
59TH ST APPROACH TO 3RD AVE,EB,5999.0
WASHINGTON BR EN CROSS BX EXPWY,WB,5993.0
CROSS BRONX EXPWY NB ET 1 B,EB,5993.0
AVENUE U,WB,5933.0
W/B INTERBOROUGH PKWY @ VERMONT PL,WB,5928.0
TRANS MANHATTAN EP NB ET 1 B,NB,5857.0
PARSONS BLVD,WB,5762.0
77 RD,EB,5649.0
77 RD,WB,5649.0
PARSONS BLVD,SB,5649.0
E/B UNION TPKE@ LAKEVILLE RD (CITY LINE),EB,5643.0
HORACE HARDING EXPRESSWAY SR N,WB,5624.0
HORACE HARDING EXPRESSWAY SR S,EB,5624.0
N/B PULASKI BRIDGE @ EAGLE ST - 49 AVE,NB,5616.0
BEACH CHANNEL DR APPROACH TO BEACH 136TH ST,WB,5557.0
E/B WARREN ST @ W BROADWAY - CHURCH ST,EB,5511.0
BROADWAY BET HENRY HUDSON PKWY SB EXIT & 256TH ST,NB,5478.0
E 233 ST,EB,5475.0
E 233 ST,WB,5475.0
ROCKAWAY FREEWAY,WB,5463.0
ROCKAWAY FREEWAY,EB,5463.0
N/B EASTCHESTER BRIDGE @ NOELL AVE -,NB,5385.0
E 79TH ST BET 5TH AVE & MADISON AVE,WB,5321.0
SKILLMAN AVE BET 51ST & 52ND STS,WB,5308.0
SEDGWICK AVENUE,EB,5308.0
